senseval2.d000.s000.t000	In the context of the given sentence, the word "art" refers to a skill or a practice.
senseval2.d000.s000.t002	Peculiar: (adjective) unusual, strange, or exceptional in nature, character, or behavior.
senseval2.d000.s000.t003	According to the Oxford English Dictionary, "English" in this context refers to the English language or the culture associated with it.
senseval2.d000.s000.t004	According to the Oxford English Dictionary, "most" in this context is an adverb meaning "the greatest or most extreme degree
senseval2.d000.s000.t005	English (noun): 1. The language spoken in England, the United Kingdom, and other countries where it is the primary
senseval2.d000.s000.t006	Peculiarities: Unusual or unexpected features of something.
senseval2.d000.s000.t007	In this context, "unintelligible" is defined as: 1. unable to be understood; not comprehensible
senseval2.d000.s000.t008	The word "rest" in the sentence is a noun.
senseval2.d000.s000.t009	The word "world" in the given sentence is a noun referring to the people or nations of the earth, excluding one's
senseval2.d000.s003.t000	Scene: (noun) a part of a play, film, or other performance, or a situation or setting in a book
senseval2.d000.s003.t001	Evoke: to cause something to be remembered or imagined, often by recalling a past experience or sensation.
senseval2.d000.s003.t004	Lovely: pleasing to the senses, especially the eyes; beautiful.
senseval2.d000.s003.t005	The word "ancient" in the given sentence can be defined as:1. Existing or dating from a very early time
senseval2.d000.s003.t006	A dictionary definition for the word "stone" in this context would be:* A solid piece of rock that is naturally occurring
senseval2.d000.s003.t007	A building for Christian worship, especially one with a tower, often with a large central nave and a chancel.
senseval2.d000.s003.t008	Definition: To remain or be placed in a particular position or location, typically upright or stationary.
senseval2.d000.s003.t009	Fields: A piece of land used for growing crops or raising livestock.
senseval2.d000.s003.t010	Definition: A sound is a vibration that travels through the air as pressure waves, typically heard as noise or a noise.
senseval2.d000.s003.t011	Bells: loud, ringing sounds produced by the vibration of metal objects, typically made of metal and suspended from a frame or
senseval2.d000.s003.t012	Cascading: - Moving or flowing in a continuous, cascading manner; falling in a continuous, cascading manner
senseval2.d000.s003.t013	The word "tower" in this sentence is defined as:"A tall, narrow structure, typically of stone or brick, built
senseval2.d000.s003.t014	Here is a dictionary definition of "calling" from the Oxford English Dictionary:"Calling (verb): to attract or summon someone
senseval2.d000.s003.t015	Faithful: Loyal or devoted to a person, cause, or institution; faithful refers to a person who remains loyal
senseval2.d000.s003.t016	Evensong: n. a musical service, typically held in the evening, in which the choir sings psalms
