senseval2.d000.s000.t000	1) A superior skill that you can learn by study and practice and observation
senseval2.d000.s000.t002	1) Characteristic of one only; distinctive or special
senseval2.d000.s000.t003	3) The people of England
senseval2.d000.s000.t004	1) The superlative of `much' that can be used with mass nouns and is usually preceded by `the';
senseval2.d000.s000.t005	1) Of or relating to the English language
senseval2.d000.s000.t006	2) An odd or unusual characteristic
senseval2.d000.s000.t007	1) Not clearly understood or expressed
senseval2.d000.s000.t008	The most suitable dictionary definition which identifies the meaning of "rest" in the given sentence is:4) Freedom from activity (
senseval2.d000.s000.t009	6) Everything that exists anywhere
senseval2.d000.s003.t000	3) A situation treated as an observable object
senseval2.d000.s003.t001	1) Call forth (emotions, feelings, and responses)
senseval2.d000.s003.t004	2) Appealing to the emotions as well as the eye
senseval2.d000.s003.t005	1) Very old
senseval2.d000.s003.t006	7) Building material consisting of a piece of rock hewn in a definite shape for a special purpose
senseval2.d000.s003.t007	4) A place for public (especially Christian) worship
senseval2.d000.s003.t008	The most suitable dictionary definition for "stands" in the given sentence is:12) Occupy a place or location
senseval2.d000.s003.t009	The most suitable dictionary definition for "fields" in the given sentence is:12) Extensive tract of level open land
senseval2.d000.s003.t010	4) The particular auditory effect produced by a given cause
senseval2.d000.s003.t011	6) The sound of a bell being struck
senseval2.d000.s003.t012	1) Rush down in big quantities, like a cascade
senseval2.d000.s003.t013	5) A structure taller than its diameter; can stand alone or be attached to a larger building.
senseval2.d000.s003.t014	The most suitable dictionary definition for "calling" in the given sentence is:19) Order, summon, or request
senseval2.d000.s003.t015	The most suitable dictionary definition for "faithful" in the given sentence is:1) A group of people who adhere
senseval2.d000.s003.t016	1) The sixth of the seven canonical hours of the divine office; early evening; now often made a public service on Sundays
senseval2.d000.s004.t001	The most suitable dictionary definition for "stop" in the given sentence is:6) Stop and wait, as if awaiting further
senseval2.d000.s004.t003	4) A place for public (especially Christian) worship
senseval2.d000.s004.t004	1) A swinging or sliding barrier that will close the entrance to a room or building or vehicle
senseval2.d000.s004.t005	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)
senseval2.d000.s004.t006	1) In or at this place; where the speaker or writer is
senseval2.d000.s004.t007	1) Without variation or change, in every case
senseval2.d000.s005.t000	5) A structure taller than its diameter; can stand alone or be attached to a larger building.
senseval2.d000.s005.t001	11) An adult person who is male (as opposed to a woman)
senseval2.d000.s005.t002	2) An adult female person (as opposed to a man)
senseval2.d000.s005.t003	The most suitable dictionary definition for "pull" in the given sentence is:11) Cause to move in a certain direction
senseval2.d000.s005.t005	2) A strong line
