senseval2.d000.s000.t000	2) The products of human creativity; works of art collectively
senseval2.d000.s000.t002	2) Unique or specific to a person or thing or category.In this context, "peculiar" is used to describe
senseval2.d000.s000.t003	5) An Indo-European language belonging to the West Germanic branch; the official language of Britain and the United States and most
senseval2.d000.s000.t004	1) The superlative of'much' that can be used with mass nouns and is usually preceded by 'the';
senseval2.d000.s000.t005	2) Of or relating to or characteristic of England or its culture or people.This definition is more comprehensive, as it encompasses
senseval2.d000.s000.t006	2) An odd or unusual characteristicThis definition best captures the meaning of "peculiarities" in the given sentence,
senseval2.d000.s000.t007	1) Not clearly understood or expressedThis definition best captures the meaning of "unintelligible" in the given sentence
senseval2.d000.s000.t008	4) Freedom from activity (work or strain or responsibility)The sentence is referring to the idea of "rest" as a
senseval2.d000.s000.t009	8) People in general considered as a whole.This definition fits the context of the sentence, as the author is referring to
senseval2.d000.s003.t000	10) The context and environment in which something is set.In the given sentence, "scenes" refers to the rural setting
senseval2.d000.s003.t001	1) Call forth (emotions, feelings, and responses)This definition of "evoke" means to inspire or bring
senseval2.d000.s003.t004	2) Appealing to the emotions as well as the eye.The sentence describes the scene as "loveliest", which
senseval2.d000.s003.t005	2) Belonging to times long past especially of the historical period before the fall of the Western Roman Empire.This definition
senseval2.d000.s003.t006	7) Building material consisting of a piece of rock hewn in a definite shape for a special purpose.This definition best fits
senseval2.d000.s003.t007	4) A place for public (especially Christian) worship.
senseval2.d000.s003.t008	10) Be standing; be upright
senseval2.d000.s003.t009	12) Extensive tract of level open land.This definition fits the context of the sentence, where the ancient stone church is
senseval2.d000.s003.t010	3) The subjective sensation of hearing something.This definition captures the meaning of "sound" in the given sentence, as it
senseval2.d000.s003.t011	6) The sound of a bell being struck.This definition best fits the context of the sentence, where "bells"
senseval2.d000.s003.t012	1) Rush down in big quantities, like a cascade.This definition best fits the context of the sentence, as the word
senseval2.d000.s003.t013	5) A structure taller than its diameter; can stand alone or be attached to a larger building.This definition best describes a
senseval2.d000.s003.t014	20) Indicate a decision in regard toIn the given sentence, "calling" refers to announcing or summoning the
senseval2.d000.s003.t015	3) Any loyal and steadfast following.The sentence uses "faithful" to describe the people attending the church, implying that
senseval2.d000.s003.t016	2) (Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer.This definition best
senseval2.d000.s004.t001	6) Stop and wait, as if awaiting further instructions or developments.This definition best fits the context of the sentence, as
senseval2.d000.s004.t003	4) A place for public (especially Christian) worship
senseval2.d000.s004.t004	4) The entrance (the space in a wall) through which you enter or leave a room or building; the space that
senseval2.d000.s004.t005	1) One of the persons who compose a social group (especially individuals who have joined and participate in a group organization)This
senseval2.d000.s004.t006	1) In or at this place; where the speaker or writer is
senseval2.d000.s004.t007	2) At all times; all the time and on every occasion
senseval2.d000.s005.t000	5) A structure taller than its diameter; can stand alone or be attached to a larger building.This definition best fits the
senseval2.d000.s005.t001	12) The generic use of the word to refer to any human being.
senseval2.d000.s005.t002	2) An adult female person (as opposed to a man).
senseval2.d000.s005.t003	3) Apply force so as to cause motion towards the source of the motionThis definition best fits the sentence, as the
senseval2.d000.s005.t005	2) A strong line.
senseval2.d000.s005.t007	2) Closely similar or comparable in kind or quality or quantity or degree.In this context, the bells are "
senseval2.d000.s005.t008	7) A percussion instrument consisting of a set of tuned bells that are struck with a hammer; used as an orchestral instrument
senseval2.d000.s005.t009	2) Before another in time, space, or importanceThis definition indicates that "first" refers to the earliest or initial
senseval2.d000.s005.t010	1) Make a certain noise or sound.
senseval2.d000.s005.t011	1) In or at this place; where the speaker or writer is
senseval2.d000.s006.t001	2) Lacking in harmonyThis definition best fits the context of the sentence, as "discordant" is used to
senseval2.d000.s006.t003	5) A notation representing the pitch and duration of a musical sound.The sentence is referring to a musical note, as indicated
senseval2.d000.s006.t005	3) Derive or receive pleasure from; get enjoyment from; take pleasure in
senseval2.d000.s006.t007	6) The sound of a bell being struck.
senseval2.d000.s006.t008	6) Neither warm nor very cold; giving relief from heat.The sentence implies that the evening is pleasant and not too hot
senseval2.d000.s006.t010	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)This definition accurately describes
senseval2.d000.s007.t000	1) The superlative of `much' that can be used with mass nouns and is usually preceded by `the';
