senseval2.d000.s000.t000	5) The study and creation of visual works of art
senseval2.d000.s000.t002	2) Unique or specific to a person or thing or category.
senseval2.d000.s000.t003	The most suitable definition is:5) An Indo-European language belonging to the West Germanic branch; the official language of Britain
senseval2.d000.s000.t004	1) The superlative of `much' that can be used with mass nouns and is usually preceded by `the';
senseval2.d000.s000.t005	2) Of or characteristic of England or its culture or people
senseval2.d000.s000.t006	2) An odd or unusual characteristic
senseval2.d000.s000.t007	2) Poorly articulated or enunciated, or drowned by noise.
senseval2.d000.s000.t008	3) A natural and periodic state of rest during which consciousness of the world is suspended
senseval2.d000.s000.t009	8) People in general considered as a whole.
senseval2.d000.s003.t000	3) A situation treated as an observable object.
senseval2.d000.s003.t001	5) Evoke or provoke to appear or occur.
senseval2.d000.s003.t004	The most suitable dictionary definition is:2) Appealing to the emotions as well as the eyeThis definition best matches the
senseval2.d000.s003.t005	2) Belonging to times long past especially of the historical period before the fall of the Western Roman Empire
senseval2.d000.s003.t006	3) The hard inner (usually woody) layer of the pericarp of some fruits (as peaches or pl
senseval2.d000.s003.t007	4) A place for public (especially Christian) worship.
senseval2.d000.s003.t008	8) Hold one's ground; maintain a position; be steadfast or upright.
senseval2.d000.s003.t009	3) a region where a battle is being (or has been) fought
senseval2.d000.s003.t010	3) The subjective sensation of hearing something
senseval2.d000.s003.t011	2) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s003.t012	2) Arrange (open windows) on a computer desktop so that they overlap each other, with the title bars visible
senseval2.d000.s003.t013	3) A communication system for sending continuous radio messages to an airplane pilot who is making a ground-controlled approach to landing.
senseval2.d000.s003.t014	1) Utter a characteristic note or cry.The most suitable dictionary definition which identifies the meaning of "calling" is:
senseval2.d000.s003.t015	2) Any loyal and steadfast following
senseval2.d000.s003.t016	2) (Anglican Church) a daily evening service with prayers prescribed in the Book of Common Prayer.
senseval2.d000.s004.t001	9) Interrupt a trip.
senseval2.d000.s004.t003	4) a place for public (especially Christian) worship
senseval2.d000.s004.t004	3) a transistor in which most current flows in a channel whose effective resistance can be controlled by a transverse electric field
senseval2.d000.s004.t005	7) In Christianity, members of a religious community that do not have the priestly responsibilities of ordained clergy.
senseval2.d000.s004.t006	The most suitable dictionary definition which identifies the meaning of "here" is:4) To this place (especially toward the speaker
senseval2.d000.s004.t007	2) At all times; all the time and on every occasion
senseval2.d000.s005.t000	4) a powerful small boat designed to pull or push larger ships.This definition is the most suitable as it directly refers to
senseval2.d000.s005.t001	7) An adult male person who has a manly character (virile and courageous competent).
senseval2.d000.s005.t002	2) An adult female person (as opposed to a man)
senseval2.d000.s005.t003	8) Cause to move by pulling
senseval2.d000.s005.t005	1) A strong line.
senseval2.d000.s005.t007	The most suitable dictionary definition which identifies the meaning of "same" among the options is:4) Having the same or similar
senseval2.d000.s005.t008	1) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s005.t009	2) Before another in time, space, or importance.
senseval2.d000.s005.t010	1) Make a certain noise or sound
senseval2.d000.s005.t011	4) To this place (especially toward the speaker)
senseval2.d000.s006.t001	2) Lacking in harmony
senseval2.d000.s006.t003	5) A notation representing the pitch and duration of a musical sound.
senseval2.d000.s006.t005	3) Derive or receive pleasure from; get enjoyment from; take pleasure inThis definition is the most suitable as it
senseval2.d000.s006.t007	1) A phonetician and father of Alexander Graham Bell (1819-1905)
senseval2.d000.s006.t008	The most suitable dictionary definition which identifies the meaning of "cool" is:4) (color) inducing the impression of cool
senseval2.d000.s006.t010	The most suitable definition for "evening" is:2) The early part of night (from dinner until bedtime) spent
senseval2.d000.s007.t000	The most suitable dictionary definition which identifies the meaning of "most" is:1) The superlative of `much'
senseval2.d000.s007.t001	2) Belonging to the distant past
senseval2.d000.s007.t002	2) A service conducted in a house of worship
senseval2.d000.s007.t004	7) Several exercises intended to be done in series.
senseval2.d000.s007.t005	2) A phonetician and father of Alexander Graham Bell (1819-1905).
senseval2.d000.s007.t006	2) On one occasion
senseval2.d000.s007.t009	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s007.t011	1) First day of the week; observed as a day of rest and worship by most Christians.In this context, "
senseval2.d000.s007.t012	The most suitable definition is:3) The first light of day
senseval2.d000.s007.t013	1) The latter part of the day (the period of decreasing daylight from late afternoon until nightfall)This definition accurately describes
senseval2.d000.s007.t014	7) A company or agency that performs a public service; subject to government regulation
senseval2.d000.s008.t000	2) At the present moment
senseval2.d000.s008.t001	The most suitable dictionary definition which identifies the meaning of "only" is:2) And nothing more
senseval2.d000.s008.t002	1) Of or characteristic of a particular locality or neighborhood.In the given sentence, "local" refers to something that is
senseval2.d000.s008.t003	2) A person who rings church bells (as for summoning the congregation).
senseval2.d000.s008.t004	2) Stay put (in a certain place)
senseval2.d000.s009.t000	4) To this place (especially toward the speaker)
senseval2.d000.s009.t001	The most suitable dictionary definition for "today" in the sentence is:2) The present time or ageThis definition matches
senseval2.d000.s009.t002	The most suitable dictionary definition which identifies the meaning of "live" is:4) Inhabit or live in; be an
